client55  time spend: 20.183006ms
client61  time spend: 19.696501ms
client52  time spend: 20.694977ms
client64  time spend: 19.506909ms
client31  time spend: 20.893007ms
client43  time spend: 20.051078ms
client67  time spend: 20.118839ms
client62  time spend: 42.740392ms
client20  time spend: 44.306689ms
client65  time spend: 42.486766ms
client41  time spend: 42.706341ms
client80  time spend: 41.62182ms
client44  time spend: 42.470453ms
client50  time spend: 44.413019ms
client59  time spend: 43.401002ms
client38  time spend: 43.083402ms
client68  time spend: 42.440382ms
client71  time spend: 41.990874ms
client74  time spend: 41.915731ms
client83  time spend: 41.741122ms
client29  time spend: 44.091571ms
client53  time spend: 44.036686ms
client14  time spend: 45.289681ms
client32  time spend: 43.856609ms
client2  time spend: 45.733243ms
client5  time spend: 45.615185ms
client77  time spend: 42.076241ms
client26  time spend: 44.492515ms
client35  time spend: 43.645366ms
client47  time spend: 45.432273ms
client56  time spend: 43.968317ms
client8  time spend: 45.762975ms
client75  time spend: 48.341069ms
client48  time spend: 51.407571ms
client70  time spend: 49.090663ms
client4  time spend: 52.923327ms
client1  time spend: 60.855803ms
client19  time spend: 61.356803ms
client22  time spend: 61.185058ms
client42  time spend: 59.555911ms
client86  time spend: 58.435963ms
client23  time spend: 61.086532ms
client7  time spend: 62.080455ms
client58  time spend: 60.31073ms
client16  time spend: 61.624899ms
client34  time spend: 60.310299ms
client37  time spend: 59.952041ms
client66  time spend: 59.409611ms
client11  time spend: 62.059866ms
client98  time spend: 58.054196ms
client84  time spend: 58.494982ms
client95  time spend: 58.11484ms
client85  time spend: 58.487932ms
client92  time spend: 58.196721ms
client73  time spend: 58.776358ms
client89  time spend: 58.375489ms
client76  time spend: 58.725771ms
client82  time spend: 58.595738ms
client17  time spend: 61.566803ms
client79  time spend: 58.651681ms
client15  time spend: 61.84779ms
client78  time spend: 58.675953ms
client81  time spend: 59.820963ms
client69  time spend: 60.536113ms
client39  time spend: 61.244996ms
client30  time spend: 62.189979ms
client51  time spend: 62.587499ms
client63  time spend: 61.24475ms
client57  time spend: 61.979116ms
client49  time spend: 63.060405ms
client72  time spend: 60.286172ms
client33  time spend: 62.015634ms
client60  time spend: 61.697324ms
client9  time spend: 64.17033ms
client36  time spend: 61.735903ms
client27  time spend: 62.719487ms
client24  time spend: 62.803677ms
client54  time spend: 62.417825ms
client90  time spend: 60.093219ms
client45  time spend: 63.965319ms
client87  time spend: 60.343619ms
client99  time spend: 59.945272ms
client12  time spend: 63.973928ms
client93  time spend: 60.078689ms
client96  time spend: 60.041902ms
client40  time spend: 61.811465ms
client13  time spend: 64.159301ms
client3  time spend: 63.933715ms
client21  time spend: 63.481233ms
client97  time spend: 60.318954ms
client28  time spend: 63.208195ms
client91  time spend: 60.455621ms
client10  time spend: 64.345094ms
client94  time spend: 60.423728ms
client46  time spend: 64.545573ms
client100  time spend: 64.613815ms
client88  time spend: 61.009825ms
client25  time spend: 63.655165ms
client6  time spend: 66.694431ms
client18  time spend: 65.942558ms
